en,fr
"When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.","Lorsqu’un Nidorina est avec ses amis ou sa famille, il replie ses pointes pour ne pas blesser ses proches. Ce Pokémon devient vite nerveux lorsqu’il est séparé de son groupe."
Nidoqueen’s body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.,Le corps de Nidoqueen est protégé par des écailles extrêmement dures. Il aime envoyer ses ennemis voler en leur fonçant dessus. Ce Pokémon utilise toute sa puissance lorsqu’il protège ses petits.
"Nidoran♂ has developed muscles for moving its ears. Thanks to them, the ears can be freely moved in any direction. Even the slightest sound does not escape this Pokémon’s notice.","Nidoran♂ a développé des muscles pour bouger ses oreilles. Ainsi, il peut les orienter à sa guise. Ce Pokémon peut entendre le plus discret des bruits."
"Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.","Nidorino dispose d’une corne plus dure que du diamant. S’il sent une présence hostile, toutes les pointes de son dos se hérissent d’un coup, puis il défie son ennemi."
"Nidoking’s thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it.","L’épaisse queue de Nidoking est d’une puissance incroyable. En un seul coup, il peut renverser une tour métallique. Lorsque ce Pokémon se déchaîne, plus rien ne peut l’arrêter."
"They’re popular, but they’re rare. Trainers who show them off recklessly may be targeted by thieves.","Il est très rare en dépit de sa popularité. Ne le laissez pas sans surveillance, car il risquerait de se faire dérober par un voleur de Pokémon!"
"It can’t help but hear a pin drop from over half a mile away, so it lives deep in the mountains where there aren’t many people or Pokémon.","Il préfère vivre au fond des montagnes, loin des humains et des Pokémon, car il peut entendre une aiguille tomber à un kilomètre de distance."
"Its beautiful tails have made it very popular. However, if it’s not brushed diligently, it will be a mass of tangles before you know it.",Ses queues magnifiques en font un Pokémon très populaire. Il faut toutefois les lui brosser fréquemment pour éviter les nœuds.
"It is vindictive and relentless by nature. Those who cross it even once will be cursed for a thousand years, along with their descendants.","Un Pokémon très rancunier. S’il est offensé, son ressentiment peut poursuivre le coupable et sa descendance pendant un millénaire."
Recordings of Jigglypuff’s strange lullabies can be purchased from department stores. These CDs can be found near the bedding area.,Les rayons literie des magasins proposent généralement des CD de berceuses chantées par des Rondoudou.
"Thanks to its bouncy body and fine fur, this Pokémon is sought after. Holding one in your arms while you sleep feels great.",Il est célébré pour son corps élastique et son pelage soyeux. Quel bonheur que de faire une sieste en serrant un Grodoudou contre soi!
"It has no eyeballs, so it can’t see. It checks its surroundings via the ultrasonic waves it emits from its mouth.","Dépourvu d’yeux, il se repère dans l’espace grâce aux ultrasons qu’il émet avec sa bouche."
"Every once in a while, you’ll see a Golbat that’s missing some fangs. This happens when hunger drives it to try biting a Steel-type Pokémon.",On rencontre parfois des Nosferalto édentés que la faim a poussés à attaquer un Pokémon de type Acier.
"Oddish searches for fertile, nutrient-rich soil, then plants itself. During the daytime, while it is planted, this Pokémon’s feet are thought to change shape and become similar to the roots of trees.","Mystherbe cherche un sol fertile et riche en nutriments, pour s’y planter. Pendant la journée, quand il est planté, les pieds de ce Pokémon changent de forme et deviennent similaires à des racines."
"From its mouth Gloom drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey.","Ortide bave un miel qui sent horriblement mauvais. Apparemment, il adore cette odeur nauséabonde. Il en renifle les fumées toxiques et se met à baver du miel de plus belle."
"Vileplume has the world’s largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this Pokémon catches and devours them.",Rafflesia dispose des plus grands pétales du monde. Il s’en sert pour attirer ses proies avant de les endormir avec ses spores toxiques. Ce Pokémon n’a plus alors qu’à attraper sa proie et à la manger.
"Whether it’s due to a lack of moisture or a lack of nutrients, in Alola the mushrooms on Paras don’t grow up quite right.",C’est probablement par manque de nutriments et d’humidité que les champignons sur son dos peinent à se développer à Alola.
"The bug is mostly dead, with the mushroom on its back having become the main body. If the mushroom comes off, the bug stops moving.","L’insecte est quasiment mort, à ce stade, et le champignon est devenu le véritable cerveau. Si on l’ôte de son dos, il ne peut plus bouger."
"Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey.","On raconte que Mimitoss a évolué avec une fourrure de poils fins et drus qui protège son corps tout entier. Il est doté de grands yeux capables de repérer ses proies, même minuscules."
"Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness.","Aéromite est un Pokémon nocturne, il ne sort donc que la nuit. Ses proies préférées sont les petits insectes qui se rassemblent autour des réverbères, attirés par la lumière."
"It travels through tunnels that it digs underground. It hates sunlight, so it comes out only after the sun goes down.",Il se déplace en creusant des tunnels. Il déteste la lumière et n’apparaît à la surface qu’une fois le soleil couché.
"While the three of them normally get along splendidly, on rare occasions a huge fight will break out over which head gets to eat first.","Ces triplés s’entendent à merveille, mais en de rares occasions, une terrible dispute éclate pour savoir qui va manger en premier."
"When visiting a junkyard, you may catch sight of it having an intense fight with Murkrow over shiny objects.","Il n’est pas rare de l’apercevoir dans les décharges, où il se dispute souvent quelque objet brillant avec un Cornèbre."
"Although the jewel on its forehead appears to be a different color than those of Alolan Persian, it’s mostly made of the same material.","Malgré une composition quasiment identique, sa gemme est d’une couleur différente de celle du Persian d’Alola."
"Using psychokinesis gives it a headache, so it normally passes the time spacing out and doing as little as possible.","Utiliser ses pouvoirs psychiques lui donne de terribles migraines, aussi préfère-t-il passer tout son temps immobile à ne rien faire."
Even fast-swimming fish Pokémon can be disabled by Golduck. It brings them to a standstill and seizes them.,Même les Pokémon poissons les plus rapides ne peuvent pas lui échapper. Il les capture avec facilité en les immobilisant.
"The smallest of things could cause it to lose its temper. Because it doesn’t hold in its stress, this Pokémon can live a long time.","La moindre contrariété le rend furieux. Comme rien ne l’atteint durablement, il n’accumule pas de stress et peut vivre très vieux."
"It will never forgive opponents who have angered it. Even after it has beaten them down until they can’t move, it never ever forgives.",Il ne pardonne rien et poursuit sans relâche ceux qui l’ont courroucé. Même les assommer ne suffira pas à apaiser sa rancune.
"While it’s quite friendly toward humans once it’s grown used to them, in the wild it must be quite fierce to defend its territory from Rockruff.","Il est très facile à apprivoiser, mais à l’état sauvage, il combat férocement les Rocabot pour le contrôle de son territoire."
Legends tell of its fighting alongside a general and conquering a whole country.,Une légende célèbre relate les exploits d’un chef de guerre et de son Arcanin à la conquête d’un certain royaume antique.
"Despite the danger, it wants to come up on land. So it does its best to waddle along, but when an enemy finds it, it rushes back to the water.","Malgré le danger, il ne cesse de sortir de l’eau. Comme il a encore du mal à marcher, il s’y réfugie toutefois dès qu’un prédateur approche."
"Although it has become capable of living on land, it spends its time in the water, where its prey, fish Pokémon, are plentiful.","Il est enfin capable de vivre sur la terre ferme, mais il passe le plus clair de son temps à chasser dans les eaux poissonneuses."
"It’s quite a gifted swimmer, even among Water-type Pokémon, but it normally spends its time on land.","Bien qu’il fasse partie des Pokémon de type Eau les plus doués pour la nage, il reste en général sur la terre ferme."
"It uses various psychic powers even while it’s sleeping, so you can’t tell whether or not it’s awake.","Il utilise certains de ses pouvoirs psychiques même quand il dort, aussi est-ce impossible de savoir s’il est éveillé ou non."
"It stares at a silver spoon to amplify its psychic powers before it lets loose. Apparently, gold spoons are no good.","Il fixe sa cuiller d’argent pour concentrer son énergie psychique avant de la libérer, mais il ne peut rien faire avec une cuiller en or."
Alakazam uses its psychic powers to make the spoons it carries. Each spoon is an original that there’s only one of in the whole world.,Il a lui-même créé ses cuillers avec sa propre force psychique. Chaque exemplaire est unique au monde.
"Once this Pokémon has gained enough confidence and muscle from training with its friends, it challenges Makuhita to a battle.","Il s’entraîne avec ses amis pour accroître sa masse musculaire et gagner en confiance. Une fois prêt, il ira défier un Makuhita."
"When it encounters an enemy that’s truly mighty, this Pokémon removes the power-save belt from its waist and unleashes its full power.","Quand il rencontre un adversaire vraiment redoutable, il retire sa ceinture de force et déchaîne toute sa puissance."
It grasps its opponents with its four arms and twists them up in an intricate hold. People call it “the Machamp special.”,Il attrape son adversaire avec ses quatre mains avant de le tordre de différentes façons. On appelle cela le Massage Spécial Mackogneur.
"Bellsprout’s thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokémon spits a corrosive fluid that melts even iron.","Le corps long et flexible de Chétiflor lui permet de se tordre et d’osciller pour éviter tout type d’attaque, même les plus puissantes. Ce Pokémon crache un fluide corrosif qui peut même dissoudre le fer."
"Weepinbell has a large hook on its rear end. At night, the Pokémon hooks on to a tree branch and goes to sleep. If it moves around in its sleep, it may wake up to find itself on the ground.","Boustiflor est doté d’un gros crochet. La nuit, ce Pokémon s’accroche à une branche pour s’endormir. Quand il a un sommeil agité, il se réveille par terre."
"Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this Pokémon swallows it whole.","Empiflor est doté d’une longue liane qui part de sa tête. Cette liane se balance et remue comme un animal pour attirer ses proies. Lorsque l’une d’elles s’approche un peu trop près, ce Pokémon l’avale entièrement."
"It drifts through the sea searching for prey. Its poisonous tentacles break off sometimes, but after a while, they grow back.","Il flotte près des côtes à la recherche de proies. Il lui arrive de perdre ses tentacules toxiques, mais ceux-ci repoussent avec le temps."
"It fires off ultrasonic waves from its red orbs to weaken its prey, and then it wraps them up in its 80 tentacles.","Il émet des ultrasons par ses globes rouges afin d’affaiblir ses proies, puis les enserre de ses 80 tentacules."
"Geodude that have lived a long life have had all their edges smoothed out until they’re totally round. They also have a calm, quiet disposition.","Les aspérités de Racaillou s’adoucissent au fil des années, tout comme sa personnalité. Il devient tout lisse, tout rond, et tout calme."
"It climbs up cliffs as it heads toward the peak of a mountain. As soon as it reaches the summit, it rolls back down the way it came.","Il escalade les falaises pour en atteindre les sommets. Une fois tout en haut, il se laisse rouler par le chemin d’où il est arrivé."
"When Golem grow old, they stop shedding their shells. Those that have lived a long, long time have shells green with moss.","Lorsqu’il arrive à un âge avancé, il arrête de muer. Un Grolem ayant vécu très longtemps est recouvert de mousse verte."
Ponyta is very weak at birth. It can barely stand up. This Pokémon becomes stronger by stumbling and falling to keep up with its parent.,"À sa naissance, Ponyta est très faible. Il peut à peine tenir debout. Ce Pokémon se muscle en trébuchant et en tombant, lorsqu’il essaie de suivre ses parents."
"Rapidash usually can be seen casually cantering in the fields and plains. However, when this Pokémon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph.","On voit souvent Galopa trotter dans les champs et les plaines. Cependant, lorsque ce Pokémon s’en donne la peine, il peut galoper à plus de 240 km/h et sa crinière flamboyante s’embrase."
"There are some places where Slowpoke is worshiped because of a long-standing belief that whenever Slowpoke yawns, it rains.","Ce Pokémon, vénéré et considéré comme un devin dans certaines régions, a donné naissance au dicton : Ramoloss a bâillé, attention à l’ondée."
"Spacing out is basically all it does. It turns back into Slowpoke if its tail, along with Shellder, breaks off.","Ce Pokémon passe son temps dans l’oisiveté la plus totale. Sa queue se détache parfois et il perd son Kokiyas, redevenant ainsi un Ramoloss."
"It’s frequently the cause of power outages, which is why some power plants send out electrical signals that it can’t stand.","Ce Pokémon causant des coupures de courant, certaines centrales l’éloignent en diffusant des ondes qu’il déteste."
"Delicate equipment can malfunction in areas inhabited by Magneton, which send out mysterious electrical signals.","Les Magnéton émettent d’étranges ondes, et les appareils de précision ont tendance à tomber en panne à leur approche."
"Farfetch’d is always seen with a stalk from a plant of some sort. Apparently, there are good stalks and bad stalks. This Pokémon has been known to fight with others over stalks.","On voit souvent des Canarticho avec une tige, récupérée sur une plante quelconque. Apparemment, ils peuvent distinguer les bonnes des mauvaises. On a vu ces Pokémon se battre pour des histoires de tiges."
"Doduo’s two heads contain completely identical brains. A scientific study reported that on rare occasions, there will be examples of this Pokémon possessing different sets of brains.","Les deux têtes de Doduo contiennent des cerveaux totalement identiques. Une étude scientifique démontra que dans des cas rares, certains de ces Pokémon possèdent des cerveaux différents."
"Apparently, the heads aren’t the only parts of the body that Dodrio has three of. It has three sets of hearts and lungs as well, so it is capable of running long distances without rest.","Apparemment, Dodrio ne se contente pas d’avoir trois têtes. Il semble également avoir trois cœurs et six poumons, ce qui lui permet de courir très longtemps sans s’épuiser."
It has always been supposed that Seel live only in cold seas. Their having shown up in Alola is a mystery.,Tout le monde pensait qu’il ne pouvait survivre que dans les mers froides. Personne ne sait donc ce qu’il fait à Alola.
"It swims through the ocean at a speed of eight knots, searching for Pokémon that will become its prey. It’s especially fond of Wishiwashi.",Il sillonne les mers à la recherche de ses proies à une vitesse de 8 nœuds. Il raffole des Froussardine.
"It was born from sludge on the ocean floor. In a sterile environment, the germs within its body can’t multiply, and it dies.","Il est né de la vase polluée des fonds marins. Dans les lieux trop propres, sa flore bactérienne ne peut pas proliférer et il dépérit."
"Their food sources have decreased, and their numbers have declined sharply. Sludge ponds are being built to prevent their extinction.","Faute de nourriture, la population de Grotadmorv diminue rapidement. Pour éviter son extinction, des étangs de fange artificiels ont été creusés."
"The sand that accumulates inside its shell eventually becomes a pearl. But the pearl gets in the way, so it spits it out and discards it.","Avec le temps, les grains de sable accumulés dans sa coquille se changent en perles, mais comme elles le gênent, il préfère les recracher."
"If areas of Cloyster’s very hard shell get damaged, those areas swell, gradually growing into large sharp spikes.","Il a une coquille à toute épreuve. En cicatrisant, les blessures sur ses valves forment des excroissances qui évoluent en dards pointus."
It’s said that gas emanating from a graveyard was possessed by the grievances of the deceased and thus became a Pokémon.,Ce Pokémon serait né des émanations gazeuses des cimetières et de la rancœur qui les habite.
"On moonless nights, Haunter searches for someone to curse, so it’s best not to go out walking around.",Gare aux nuits sans lune! C’est là que Spectrum erre à la recherche d’âmes à damner. Toute promenade est fortement déconseillée.
You can hear tales told all over the world about how Gengar will pay a visit to children who are naughty.,Les enfants du monde entier redoutent la menace de l’Ectoplasma qui viendra les chercher s’ils ne sont pas sages.
"Onix has a magnet in its brain. It acts as a compass so that this Pokémon does not lose direction while it is tunneling. As it grows older, its body becomes increasingly rounder and smoother.","Onix a dans le cerveau un aimant qui lui sert de boussole. Il permet à ce Pokémon de ne pas se perdre pendant qu’il creuse. En prenant de l’âge, son corps s’arrondit et se polit."
"It can be spotted near recreational facilities, intending to eat the pleasant dreams of children who enjoyed themselves there that day.","Il aime musarder près des parcs d’attractions : après y avoir passé une bonne journée, les enfants font de beaux rêves, dont il se délecte."
"In Alola, Komala is Hypno’s main target. It rarely harms people.","À Alola, les Hypnomade s’en prennent principalement aux Dodoala. Les humains n’ont donc pas grand-chose à craindre."
"Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pokémon can be seen squabbling with each other over territory.","Krabby vit sur les plages, enterré dans le sable. Sur les plages où on trouve peu de nourriture, on peut voir ces Pokémon se disputer pour défendre leur territoire."
"Kingler has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the Pokémon quickly tires.","Krabboss est doté d’une pince gigantesque, surdimensionnée. Il l’agite en l’air pour communiquer avec ses semblables. En revanche, sa pince est tellement lourde que ce Pokémon se fatigue très vite."
Voltorb is extremely sensitive—it explodes at the slightest of shocks. It is rumored that it was first created when a Poké Ball was exposed to a powerful pulse of energy.,Voltorbe est extrêmement sensible. Il explose au moindre choc. On raconte qu’il fut créé par l’exposition d’une Poké Ball à une puissante dose d’énergie.
One of Electrode’s characteristics is its attraction to electricity. It is a problematical Pokémon that congregates mostly at electrical power plants to feed on electricity that has just been generated.,L’une des caractéristiques d’Électrode est son attirance pour l’électricité. Ces Pokémon posent problème lorsqu’ils se rassemblent dans les centrales électriques pour se nourrir de courant fraîchement généré.
"Six of them form a single Pokémon. Should one of the six be lost, the next morning there will once more be six.","Six pour le prix d’un! Si par malheur l’un d’entre eux disparaît, il est remplacé dès le lendemain matin par une nouvelle recrue."
"It engages its enemies using psychic powers. Each of its three heads fires off psychokinetic energy, tripling its power.","Il frappe ses adversaires de ses pouvoirs psychiques. Comme il a trois têtes, la puissance de ses attaques s’en voit triplée."
"At night, it weeps loudly for its dead mother, but those cries only attract its natural enemy—Mandibuzz.","La nuit, il pense avec nostalgie à sa défunte mère et éclate en sanglots. Vaututrice, son prédateur, le localise au son de ses pleurs."
It throws bones at Mandibuzz to knock it down. It’s thought that Marowak is trying to avenge its parent.,Il lance son os pour abattre les Vaututrice. On pense qu’il agit ainsi pour venger sa mère.
"Hitmonlee’s legs freely contract and stretch. Using these springlike legs, it bowls over foes with devastating kicks. After battle, it rubs down its legs and loosens the muscles to overcome fatigue.","Les jambes de Kicklee peuvent se contracter et s’étirer à volonté. Grâce à ces jambes à ressort, il terrasse ses ennemis en les rouant de coups de pied. Après les combats, il masse ses jambes pour éviter de sentir la fatigue."
Hitmonchan is said to possess the spirit of a boxer who had been working toward a world championship. This Pokémon has an indomitable spirit and will never give up in the face of adversity.,On raconte que Tygnon dispose de l’état d’esprit d’un boxeur qui s’entraîne pour le championnat du monde. Ce Pokémon est doté d’une ténacité à toute épreuve et n’abandonne jamais face à l’adversité.
"It checks out whatever’s around it by licking everything. If you don’t clean off a spot where it’s licked you, you’ll break out in a rash!","Sa longue langue lui sert à goûter tout ce qui l’intrigue. Attention, car s’il vous lèche une partie du corps, vous risquez l’infection cutanée."
"Koffing embodies toxic substances. It mixes the toxins with raw garbage to set off a chemical reaction that results in a terribly powerful poison gas. The higher the temperature, the more gas is concocted by this Pokémon.","Smogo est composé de substances toxiques. Il mélange des toxines et des détritus pour déclencher une réaction chimique générant un gaz très dangereux. Plus la température est élevée, plus la quantité de gaz est importante."
"Weezing alternately shrinks and inflates its twin bodies to mix together toxic gases inside. The more the gases are mixed, the more powerful the toxins become. The Pokémon also becomes more putrid.","Smogogo rétrécit ou gonfle ses deux corps pour mélanger les gaz toxiques qui s’y trouvent. Lorsque les gaz sont bien mélangés, la toxine devient très puissante. Le Pokémon se putréfie aussi un peu plus."
"Rhyhorn’s brain is very small. It is so dense, while on a run it forgets why it started running in the first place. It apparently remembers sometimes if it demolishes something.","Le cerveau de Rhinocorne est tout petit, à tel point que lorsqu’il attaque, il lui arrive d’oublier pourquoi il a commencé à charger. Il lui arrive de se souvenir qu’il a démoli certaines choses."
"Rhydon has a horn that serves as a drill. It is used for destroying rocks and boulders. This Pokémon occasionally rams into streams of magma, but the armor-like hide prevents it from feeling the heat.","La corne de Rhinoféros lui sert de foreuse. Il l’utilise pour détruire des rochers et des cailloux. Ce Pokémon charge de temps en temps dans du magma en fusion, mais sa peau blindée le protège de la chaleur."
"It seems that other Pokémon’s efforts to take its delicious, nutritious egg away from it caused Chansey to get faster at fleeing.","À force de fuir les Pokémon qui en avaient après ses œufs, réputés pour leur goût et leur valeur nutritive, il a appris à courir plus vite."
"Tangela’s vines snap off easily if they are grabbed. This happens without pain, allowing it to make a quick getaway. The lost vines are replaced by newly grown vines the very next day.",Les lianes de Saquedeneu se brisent facilement lorsqu’on les attrape. Cela ne lui fait pas mal et lui permet simplement de s’échapper rapidement. Les lianes cassées repoussent le lendemain.
Kangaskhan protects its child by keeping it in its pouch. It has zero forgiveness for those who harm its child and will beat them down.,"Kangourex protège son petit en le mettant dans sa poche, et se montre sans pitié envers quiconque ose lui faire du mal."
"If Horsea senses danger, it will reflexively spray a dense black ink from its mouth and try to escape. This Pokémon swims by cleverly flapping the fin on its back.","Lorsque Hypotrempe sent un danger, il libère instinctivement une épaisse encre noire pour pouvoir s’échapper. Ce Pokémon nage en agitant sa nageoire dorsale."
"Seadra generates whirlpools by spinning its body. The whirlpools are strong enough to swallow even fishing boats. This Pokémon weakens prey with these currents, then swallows it whole.","Hypocéan déclenche des tourbillons en faisant tournoyer son corps. Ces tourbillons sont assez puissants pour engloutir des bateaux de pêche. Ce Pokémon affaiblit sa proie grâce à ces courants, puis l’avale en une bouchée."
"Although known for their splendid tail fins, Goldeen apparently compete among themselves to see whose horn is thickest and sharpest.","Prisés pour la beauté de leur nageoire caudale, les Poissirène rivalisent quant à eux pour savoir qui a la corne la plus épaisse et la plus acérée."
Its horn spins like a drill to steadily hollow out rocks—even harder ones. The coloration of the male is more vivid.,Il peut forer des rocs en faisant tourner sa corne comme une perceuse. Les mâles ont des couleurs plus vives que les femelles.
"In many places, there are folktales of stardust falling into the ocean and becoming Staryu.","Si l’on en croit une légende populaire, il serait né d’une pluie de poussière d’étoiles tombée dans la mer."
