en,fr
This Pokémon inflicts damage with its rough skin to the attacker on contact.,Blesse l’attaquant lorsque le Pokémon subit une attaque directe.
Its mysterious power only lets supereffective moves hit the Pokémon.,"Une puissance mystérieuse protège le Pokémon contre toutes les capacités, sauf celles « super efficaces »."
"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.","Le Pokémon flotte, ce qui l’immunise contre les capacités de type Sol."
"Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.","Peut paralyser, empoisonner ou endormir l’attaquant lorsque le Pokémon subit une attaque directe."
"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.","Quand le Pokémon est brûlé, paralysé ou empoisonné par un autre Pokémon, il partage ce statut avec celui-ci."
Prevents other Pokémon’s moves or Abilities from lowering the Pokémon’s stats.,Empêche les stats du Pokémon de baisser à cause d’une capacité ou d’un talent.
All status conditions heal when the Pokémon switches out.,Le Pokémon soigne ses altérations de statut en quittant le combat.
"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.","Le Pokémon détourne sur lui les capacités de type Électrik et les neutralise, tout en montant son Attaque Spéciale."
Boosts the likelihood of additional effects occurring when attacking.,Augmente les chances d’infliger des effets additionnels.
Boosts the Pokémon’s Speed stat in rain.,Augmente la Vitesse du Pokémon s’il pleut.
Boosts the Pokémon’s Speed stat in harsh sunlight.,Augmente la Vitesse du Pokémon s’il y a du soleil.
Raises the likelihood of meeting wild Pokémon by illuminating the surroundings.,Émet une lumière spécifique qui facilite les rencontres avec les Pokémon sauvages.
"When it enters a battle, the Pokémon copies an opposing Pokémon’s Ability.","Lorsque le Pokémon entre au combat, il calque le talent d’un ennemi pour remplacer le sien."
Doubles the Pokémon’s Attack stat.,Double l’Attaque du Pokémon.
Contact with the Pokémon may poison the attacker.,Peut empoisonner l’attaquant lorsque le Pokémon subit une attaque directe.
"The Pokémon’s intensely focused, and that protects the Pokémon from flinching.",Le Pokémon a un mental à toute épreuve qui empêche les capacités ennemies de lui faire peur.
"The Pokémon is covered with hot magma, which prevents the Pokémon from becoming frozen.",Le magma qui recouvre le corps du Pokémon le protège contre le gel.
"The Pokémon is covered with a water veil, which prevents the Pokémon from getting a burn.",Le voile qui recouvre le Pokémon le protège des brûlures.
Prevents Steel-type Pokémon from escaping using its magnetic force.,"Attire les Pokémon Acier grâce à un champ magnétique, ce qui les empêche de fuir."
Soundproofing gives the Pokémon full immunity to all sound-based moves.,Protège le Pokémon de toutes les capacités sonores.
The Pokémon gradually regains HP in rain.,Le Pokémon récupère progressivement des PV lorsqu’il pleut.
The Pokémon summons a sandstorm when it enters a battle.,Le Pokémon invoque une tempête de sable quand il entre au combat.
"By putting pressure on the opposing Pokémon, it raises their PP usage.",Met la pression à l’ennemi pour le forcer à dépenser plus de PP.
"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.",Le Pokémon est protégé par une épaisse couche de graisse qui diminue de moitié les dégâts qu’il subit des capacités de types Feu et Glace.
The Pokémon awakens from sleep twice as fast as other Pokémon.,Le Pokémon se réveille deux fois plus rapidement que les autres.
Contact with the Pokémon may burn the attacker.,Peut brûler l’attaquant lorsque le Pokémon subit une attaque directe.
Enables a sure getaway from wild Pokémon.,Permet de fuir n’importe quel Pokémon sauvage.
Keen eyes prevent other Pokémon from lowering this Pokémon’s accuracy.,Les yeux perçants du Pokémon empêchent sa Précision de baisser.
The Pokémon’s proud of its powerful pincers. They prevent other Pokémon from lowering its Attack stat.,Le Pokémon est armé de lames tranchantes qui font sa fierté et empêchent son Attaque de baisser.
"The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too.",Permet parfois au Pokémon de ramasser les objets que ses ennemis ont utilisés. Il lui arrive aussi d’en trouver hors des combats.
The Pokémon can’t use a move if it had used a move on the previous turn.,"Lorsque le Pokémon utilise une capacité, il passe le tour suivant à paresser."
"Boosts the Attack stat, but lowers accuracy.","Améliore l’Attaque du Pokémon, mais diminue la Précision."
Contact with the Pokémon may cause infatuation.,Peut séduire l’attaquant lorsque le Pokémon subit une attaque directe.
Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,L’Attaque Spéciale du Pokémon augmente si un Pokémon allié a le talent Moins ou Plus.
Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,L’Attaque Spéciale du Pokémon augmente si un Pokémon allié a le talent Moins ou Plus.
"The Pokémon transforms with the weather to change its type to Water, Fire, or Ice.","Le Pokémon prend le type Eau, Feu ou Glace en fonction de la météo."
Items held by the Pokémon are stuck fast and cannot be removed by other Pokémon.,"Les objets sont collés au corps gluant du Pokémon, ce qui empêche ses adversaires de les dérober."
The Pokémon may heal its own status conditions by shedding its skin.,Le Pokémon soigne parfois ses altérations de statut en muant.
It’s so gutsy that having a status condition boosts the Pokémon’s Attack stat.,Augmente l’Attaque du Pokémon s’il est affecté par une altération de statut.
The Pokémon’s marvelous scales boost the Defense stat if it has a status condition.,Les écailles mystérieuses du Pokémon réagissent aux altérations de statut en augmentant sa Défense.
"The oozed liquid has a strong stench, which damages attackers using any draining move.",Le Pokémon suinte un liquide toxique nauséabond qui blesse tous ceux qui tentent de voler ses PV.
Powers up Grass-type moves when the Pokémon’s HP is low.,Augmente la puissance des capacités de type Plante du Pokémon quand il a perdu une certaine quantité de PV.
Powers up Fire-type moves when the Pokémon’s HP is low.,Augmente la puissance des capacités de type Feu du Pokémon quand il a perdu une certaine quantité de PV.
Powers up Water-type moves when the Pokémon’s HP is low.,Augmente la puissance des capacités de type Eau du Pokémon quand il a perdu une certaine quantité de PV.
Powers up Bug-type moves when the Pokémon’s HP is low.,Augmente la puissance des capacités de type Insecte du Pokémon quand il a perdu une certaine quantité de PV.
Protects the Pokémon from recoil damage.,Le Pokémon peut utiliser des capacités occasionnant un contrecoup sans perdre de PV.
Turns the sunlight harsh when the Pokémon enters a battle.,Le soleil se met à briller quand le Pokémon entre au combat.
Prevents opposing Pokémon from fleeing.,Empêche l’ennemi de s’enfuir.
"The Pokémon is full of vitality, and that prevents it from falling asleep.",Empêche le Pokémon de s’endormir.
"The Pokémon is protected by its white smoke, which prevents other Pokémon from lowering its stats.",Un écran de fumée empêche l’ennemi de baisser les stats du Pokémon.
"Using its pure power, the Pokémon doubles its Attack stat.",Le Pokémon utilise sa maîtrise du yoga pour doubler la puissance de ses capacités physiques.
A hard shell protects the Pokémon from critical hits.,Le Pokémon est protégé des coups critiques par sa carapace.
Eliminates the effects of weather.,Annule tous les effets de la météo.
Raises evasiveness if the Pokémon is confused.,Augmente l’Esquive du Pokémon s’il est confus.
Boosts its Speed stat if hit by an Electric-type move instead of taking damage.,"Si le Pokémon est touché par une capacité Électrik, il ne subit aucun dégât et sa Vitesse augmente."
"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.","Le Pokémon déteste la concurrence et inflige plus de dégâts si l’ennemi est du même sexe. Par contre, il en inflige moins si l’ennemi est du sexe opposé."
The Pokémon’s determination boosts the Speed stat each time the Pokémon flinches.,Augmente la Vitesse du Pokémon quand il a peur.
Boosts evasiveness in a hailstorm.,Augmente l’Esquive du Pokémon durant les tempêtes de grêle.
"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.","Si le Pokémon tient une Baie à manger en cas de PV bas, il la mange dès qu’il a perdu la moitié de ses PV."
"The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat.","Si le Pokémon subit un coup critique, il entre dans une colère noire qui augmente son Attaque au maximum."
Boosts the Speed stat if the Pokémon’s held item is used or lost.,Augmente la Vitesse du Pokémon s’il perd ou utilise l’objet qu’il tenait au début du combat.
The heatproof body of the Pokémon halves the damage from Fire-type moves that hit it.,Diminue de moitié les dégâts infligés au Pokémon par les capacités de type Feu.
The stat changes the Pokémon receives are doubled.,Les variations de stats sont deux fois plus importantes pour le Pokémon.
"Restores HP in rain or when hit by Water-type moves. Reduces HP in harsh sunlight, and increases the damage received from Fire-type moves.","Le Pokémon perd des PV quand le soleil brille, mais il en regagne lorsqu’il pleut ou s’il est touché par une capacité Eau. Il subit aussi plus de dégâts de Feu."
Compares an opposing Pokémon’s Defense and Sp. Def stats before raising its own Attack or Sp. Atk stat—whichever will be more effective.,Le Pokémon compare la Défense et la Défense Spéciale de l’adversaire et augmente son Attaque ou son Attaque Spéciale en conséquence.
Powers up punching moves.,Augmente la puissance des capacités coups de poing.
Restores HP if the Pokémon is poisoned instead of losing HP.,"Quand le Pokémon est empoisonné, il regagne des PV au lieu d’en perdre."
Powers up moves of the same type as the Pokémon.,"Quand le Pokémon utilise une capacité du même type que lui, le bonus de puissance qu’elle reçoit est encore plus important que normalement."
Maximizes the number of times multistrike moves hit.,Les capacités pouvant frapper plusieurs fois frappent toujours le nombre maximal de coups.
Heals status conditions if it’s raining.,Soigne les altérations de statut du Pokémon quand il pleut.
"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.","Quand le soleil brille, l’Attaque Spéciale du Pokémon augmente mais il perd des PV à chaque tour."
Boosts the Speed stat if the Pokémon has a status condition.,Augmente la Vitesse du Pokémon en cas d’altération de statut.
All the Pokémon’s moves become Normal type. The power of those moves is boosted a little.,"Toutes les capacités du Pokémon deviennent de type Normal, quel que soit leur type original. Leur puissance augmente légèrement."
Powers up moves if they become critical hits when attacking.,"Lorsque le Pokémon porte un coup critique, les dégâts infligés augmentent encore plus que d’habitude."
The Pokémon only takes damage from attacks.,Seules les attaques peuvent blesser le Pokémon.
The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.,"Les capacités du Pokémon touchent l’ennemi à coup sûr, mais les capacités de l’ennemi le touchent aussi à coup sûr."
The Pokémon moves after all other Pokémon do.,Le Pokémon utilise toujours sa capacité en dernier.
Powers up the Pokémon’s weaker moves.,Augmente la puissance des capacités les plus faibles.
Prevents status conditions in harsh sunlight.,Protège le Pokémon contre les altérations de statut quand le soleil brille.
The Pokémon can’t use any held items.,Le Pokémon ne peut utiliser aucun objet tenu.
Moves can be used on the target regardless of its Abilities.,Le Pokémon ignore les talents adverses qui auraient un effet sur ses capacités.
The Pokémon is so lucky that the critical-hit ratios of its moves are boosted.,Le Pokémon est tellement chanceux qu’il inflige plus fréquemment des coups critiques.
Damages the attacker if it contacts the Pokémon with a finishing hit.,"Si le Pokémon est mis K.O. par une attaque directe, il inflige des dégâts à l’attaquant avant de s’évanouir."
The Pokémon can sense an opposing Pokémon’s dangerous moves.,Le Pokémon devine si l’adversaire connaît une capacité dangereuse pour lui.
"When it enters a battle, the Pokémon can tell one of the moves an opposing Pokémon has.",Révèle l’une des capacités de l’ennemi quand le combat commence.
"When attacking, the Pokémon ignores the target Pokémon’s stat changes.","Quand il attaque, le Pokémon ignore les changements de stats de l’ennemi."
The Pokémon can use “not very effective” moves to deal regular damage.,Permet à une capacité « pas très efficace » d’infliger des dégâts comme si elle était efficace normalement.
Reduces the power of supereffective attacks taken.,Réduit les dégâts subis lorsque le Pokémon est touché par une capacité super efficace.
"For five turns, the Pokémon’s Attack and Speed stats are halved.",Divise la Vitesse et l’Attaque du Pokémon par deux pendant les cinq premiers tours du combat.
The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves.,Permet aux capacités de type Normal ou Combat du Pokémon de toucher les Pokémon de type Spectre.
"Draws in all Water-type moves. Instead of being hit by Water-type moves, it boosts its Sp. Atk.","Le Pokémon détourne sur lui les capacités de type Eau et les neutralise, tout en montant son Attaque Spéciale."
The Pokémon gradually regains HP in a hailstorm.,Régénère les PV du Pokémon lors des tempêtes de grêle.
Reduces the power of supereffective attacks taken.,Réduit les dégâts subis lorsque le Pokémon est touché par une capacité super efficace.
The Pokémon summons a hailstorm when it enters a battle.,Déclenche une tempête de grêle quand le Pokémon entre au combat.
The Pokémon may gather Honey after a battle.,Le Pokémon peut parfois trouver du Miel après un combat.
"When it enters a battle, the Pokémon can check an opposing Pokémon’s held item.",Permet de connaître l’objet tenu par l’ennemi quand le combat commence.
Powers up moves that have recoil damage.,Augmente la puissance des capacités occasionnant un contrecoup.
Changes the Pokémon’s type to match the Plate or Z-Crystal it holds.,Modifie le type du Pokémon en fonction de la plaque ou du Cristal Z qu’il tient.
Boosts the Attack and Sp. Def stats of itself and allies in harsh sunlight.,Augmente l’Attaque et la Défense Spéciale du Pokémon et de ses alliés lorsque le soleil brille.
Reduces the HP of sleeping opposing Pokémon.,Inflige des dégâts aux ennemis endormis.
Steals an item from an attacker that made direct contact.,Vole l’objet que tient l’attaquant quand le Pokémon subit une attaque directe.
Removes additional effects to increase the power of moves when attacking.,"Les capacités ayant un effet additionnel le perdent, mais leur puissance augmente."
Makes stat changes have an opposite effect.,"Inverse les changements de stats : les augmentations de stats se transforment en baisses, et vice-versa."
Unnerves opposing Pokémon and makes them unable to eat Berries.,"Fait stresser l’ennemi, ce qui l’empêche de manger des Baies."
Boosts the Pokémon’s Attack stat sharply when its stats are lowered.,Augmente beaucoup l’Attaque du Pokémon quand ses stats baissent.
Halves the Pokémon’s Attack and Sp. Atk stats when its HP becomes half or less.,"Le Pokémon devient défaitiste quand ses PV tombent à la moitié, et son Attaque et son Attaque Spéciale sont divisées par deux."
May disable a move used on the Pokémon.,"Quand le Pokémon est touché par une capacité, il inflige parfois Entrave sur celle-ci."
Sometimes heals an ally’s status condition.,Soigne parfois une altération de statut d’un allié proche.
Reduces damage done to allies.,Diminue les dégâts subis par les alliés.
Physical attacks to the Pokémon lower its Defense stat but sharply raise its Speed stat.,"Quand le Pokémon est touché par une capacité physique, sa Défense baisse mais sa Vitesse augmente beaucoup."
Doubles the Pokémon’s weight.,Double le poids du Pokémon.
Halves the Pokémon’s weight.,Divise par deux le poids du Pokémon.
Reduces the amount of damage the Pokémon takes while its HP is full.,Le Pokémon reçoit moins de dégâts quand ses PV sont au maximum.
Powers up physical attacks when the Pokémon is poisoned.,Augmente la puissance des capacités physiques quand le Pokémon est empoisonné.
Powers up special attacks when the Pokémon is burned.,Augmente la puissance des capacités spéciales quand le Pokémon est brûlé.
May create another Berry after one is used.,Permet de réutiliser une même Baie plusieurs fois.
Anticipates an ally’s attack and dodges it.,Le Pokémon anticipe et évite les attaques de ses alliés.
Raises one stat sharply and lowers another every turn.,Augmente beaucoup une stat du Pokémon et en baisse une autre au hasard à chaque tour.
"Protects the Pokémon from things like sand, hail, and powder.","Protège des dégâts occasionnés par les tempêtes de sable ou la grêle, et neutralise les attaques à base de poudre."
May poison a target when the Pokémon makes contact.,Peut empoisonner l’ennemi par simple contact.
Restores a little HP when withdrawn from battle.,Restaure un peu de PV si le Pokémon est retiré du combat.
Protects the Pokémon from Defense-lowering effects.,Empêche les capacités adverses de baisser la Défense.
Boosts the Pokémon’s Speed stat in a sandstorm.,Augmente la Vitesse lors des tempêtes de sable.
Makes status moves more likely to miss.,Le Pokémon résiste mieux aux capacités de statut.
Boosts move power when the Pokémon moves last.,Augmente la puissance des capacités du Pokémon s’il attaque en dernier.
Comes out disguised as the Pokémon in the party’s last spot.,Le Pokémon prend l’apparence du dernier membre de l’équipe pour tromper l’adversaire.
The Pokémon transforms itself into the Pokémon it’s facing.,Le Pokémon prend l’apparence du Pokémon adverse.
"Passes through the opposing Pokémon’s barrier, substitute, and the like and strikes.",Traverse les barrières et les clones de l’ennemi pour attaquer directement.
Contact with the Pokémon changes the attacker’s Ability to Mummy.,Remplace le talent de l’attaquant par « Momie » lorsque le Pokémon subit une attaque directe.
"The Pokémon shows moxie, and that boosts the Attack stat after knocking out any Pokémon.","Quand le Pokémon met un ennemi K.O., sa confiance en lui ne connaît plus de limite et son Attaque augmente."
"Being hit by a Dark-type move boosts the Attack stat of the Pokémon, for justice.","Réveille la noblesse du Pokémon lorsqu’il subit une capacité de type Ténèbres, ce qui augmente son Attaque."
"Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat.","Si le Pokémon est touché par une capacité de type Ténèbres, Spectre ou Insecte, sa phobie se révèle et sa Vitesse augmente."
Reflects status moves instead of getting hit by them.,Annule les effets des capacités de statut subies par le Pokémon et les retourne à l’envoyeur.
Boosts the Attack stat if hit by a Grass-type move instead of taking damage.,Annule les attaques de type Plante subies par le Pokémon et augmente son Attaque.
Gives priority to a status move.,Rend les capacités de statut prioritaires.
"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.","Augmente la puissance des capacités de types Roche, Sol et Acier en cas de tempête de sable."
Inflicts damage on the attacker upon contact with iron barbs.,Inflige des dégâts à l’attaquant lorsque le Pokémon subit une attaque directe.
Changes the Pokémon’s shape when HP is half or less.,"Quand le Pokémon perd la moitié de ses PV, il se transforme."
Boosts the accuracy of its allies and itself.,Augmente la Précision des Pokémon de l’équipe.
Moves can be used on the target regardless of its Abilities.,Le Pokémon ignore les talents adverses qui auraient un effet sur ses capacités.
Moves can be used on the target regardless of its Abilities.,Le Pokémon ignore les talents adverses qui auraient un effet sur ses capacités.
Protects itself and its allies from attacks that limit their move choices.,Protège l’équipe des effets limitant le libre arbitre.
Ally Grass-type Pokémon are protected from status conditions and the lowering of their stats.,Empêche les alliés de type Plante de subir des baisses de stats et des altérations de statut.
Restores HP as well when the Pokémon eats a Berry.,"Restaure des PV lorsque le Pokémon consomme une Baie, quelle qu’elle soit."
Changes the Pokémon’s type to the type of the move it’s about to use.,Le Pokémon prend le type de la capacité qu’il utilise.
Halves the damage from physical moves.,Divise par deux les dégâts des capacités physiques subies par le Pokémon.
The Pokémon steals the held item of a Pokémon it hits with a move.,Les capacités volent aussi l’objet tenu par la cible.
Protects the Pokémon from some ball and bomb moves.,Protège de certaines capacités lançant des projectiles comme des bombes et des balles.
Boosts the Sp. Atk stat sharply when a stat is lowered.,Augmente beaucoup l’Attaque Spéciale du Pokémon quand ses stats baissent.
The Pokémon’s strong jaw boosts the power of its biting moves.,Le Pokémon a une mâchoire robuste qui augmente la puissance de ses capacités à base de morsures.
Normal-type moves become Ice-type moves. The power of those moves is boosted a little.,Les capacités de type Normal deviennent de type Glace. Leur puissance augmente légèrement.
Prevents itself and ally Pokémon from falling asleep.,Les Pokémon de l’équipe ne peuvent pas s’endormir.
The Pokémon changes its form to Blade Forme when it uses an attack move and changes to Shield Forme when it uses King’s Shield.,"Le Pokémon prend la Forme Assaut lorsqu’il utilise une attaque, et la Forme Parade lorsqu’il utilise Bouclier Royal."
Gives priority to Flying-type moves when the Pokémon’s HP is full.,"Quand les PV du Pokémon sont au maximum, ses capacités de type Vol sont prioritaires."
Powers up aura and pulse moves.,Augmente la puissance de certaines capacités de type aura.
Boosts the Pokémon’s Defense stat on Grassy Terrain.,Augmente la Défense du Pokémon si Champ Herbu est actif.
The Pokémon passes its item to an ally that has used up an item.,"Quand les alliés utilisent l’objet qu’ils tiennent, le Pokémon leur donne l’objet qu’il tient en remplacement."
Powers up moves that make direct contact.,Augmente la puissance des attaques directes du Pokémon.
Normal-type moves become Fairy-type moves. The power of those moves is boosted a little.,Les capacités de type Normal deviennent de type Fée. Leur puissance augmente légèrement.
Contact with the Pokémon lowers the attacker’s Speed stat.,Baisse la Vitesse de l’attaquant lorsque le Pokémon subit une attaque directe.
Normal-type moves become Flying-type moves. The power of those moves is boosted a little.,Les capacités de type Normal deviennent de type Vol. Leur puissance augmente légèrement.
Parent and child each attacks.,Permet à la mère et à son petit d’attaquer tous les deux en même temps.
Powers up each Pokémon’s Dark-type moves.,Augmente la puissance des attaques de type Ténèbres de tous les Pokémon.
Powers up each Pokémon’s Fairy-type moves.,Augmente la puissance des attaques de type Fée de tous les Pokémon.
The effects of “Aura” Abilities are reversed to lower the power of affected moves.,Inverse l’effet des auras en baissant leur puissance.
The Pokémon changes the weather to nullify Fire-type attacks.,Altère les conditions météo et rend inefficaces les attaques de type Feu.
The Pokémon changes the weather to nullify Water-type attacks.,Altère les conditions météo et rend inefficaces les attaques de type Eau.
The Pokémon changes the weather to eliminate all of the Flying type’s weaknesses.,Altère les conditions météo et annule les faiblesses du type Vol.
Boosts the Defense stat when hit by an attack.,Augmente la Défense du Pokémon lorsqu’il subit une attaque.
The Pokémon cowardly switches out when its HP becomes half or less.,Le Pokémon perd confiance quand ses PV tombent à la moitié et s’enfuit dans sa Poké Ball.
"The Pokémon, sensing danger, switches out when its HP becomes half or less.","Le Pokémon évite les situations inutilement dangereuses. Quand ses PV tombent à la moitié, il se réfugie dans sa Poké Ball."
Boosts the Pokémon’s Defense stat sharply when hit by a Water-type move.,Augmente beaucoup la Défense du Pokémon quand il subit une capacité de type Eau.
The Pokémon’s attacks become critical hits if the target is poisoned.,"Lorsque le Pokémon attaque un adversaire empoisonné, le coup sera forcément critique."
"When its HP becomes half or less, the Pokémon’s shell breaks and it becomes aggressive.","Lorsque le Pokémon perd la moitié de ses PV, son enveloppe se brise, mais son Attaque et son Attaque Spéciale augmentent."
Doubles the damage dealt to the target’s replacement if the target switches out.,"Lorsque le Pokémon attaque une cible qui vient d’entrer sur le terrain en remplacement d’un autre Pokémon, les dégâts infligés sont doublés."
Lowers the power of Fire-type moves done to the Pokémon and prevents the Pokémon from getting a burn.,Réduit les dégâts des capacités de type Feu subies par le Pokémon. Il est également immunisé contre les brûlures.
Powers up Steel-type moves.,Augmente la puissance des attaques de type Acier.
Boosts the Pokémon’s Sp. Atk stat when it takes a hit that causes its HP to become half or less.,Augmente l’Attaque Spéciale du Pokémon lorsqu’il tombe à la moitié de ses PV à cause d’une attaque.
Boosts the Pokémon’s Speed stat in a hailstorm.,Augmente la Vitesse du Pokémon quand il grêle.
The Pokémon uses its moves without making contact with the target.,Le Pokémon est capable d’utiliser toutes ses capacités sans entrer en contact direct avec sa cible.
All sound-based moves become Water-type moves.,Toutes les attaques sonores du Pokémon prennent le type Eau.
Gives priority to a healing move.,Toutes les capacités qui soignent le Pokémon directement deviennent prioritaires.
Normal-type moves become Electric-type moves. The power of those moves is boosted a little.,Les capacités de type Normal deviennent de type Électrik. Leur puissance augmente légèrement.
Doubles the Pokémon’s Speed stat on Electric Terrain.,La Vitesse du Pokémon est doublée sur un Champ Électrifié.
"When it has a lot of HP, the Pokémon forms a powerful school. It stops schooling when its HP is low.","Le Pokémon se rassemble avec ses congénères quand ses PV sont élevés. Plus ses PV baissent, plus le banc s’amenuise."
"Once per battle, the shroud that covers the Pokémon can protect it from an attack.",Le déguisement qui recouvre le corps du Pokémon est capable de le protéger d’une attaque.
"Defeating an opposing Pokémon strengthens the Pokémon’s bond with its Trainer, and it becomes Ash-Greninja. Water Shuriken gets more powerful.","En battant un ennemi, ce Pokémon renforce ses liens avec son Dresseur. Il prend alors sa Forme Sacha et ses Sheauriken gagnent en puissance."
Other Cells gather to aid when its HP becomes half or less. Then the Pokémon changes its form to Complete Forme.,"Lorsque le Pokémon perd la moitié de ses PV, ses Cellules se rassemblent pour l’encourager, ce qui lui permet de prendre sa Forme Parfaite."
The Pokémon can poison the target even if it’s a Steel or Poison type.,Permet d’empoisonner les Pokémon de type Acier ou Poison.
It’s always drowsing and will never wake up. It can attack without waking up.,Le Pokémon rêve en permanence et ne se réveille jamais. Il est capable d’attaquer normalement tout en dormant.
"Its majesty pressures the opposing Pokémon, making it unable to attack using priority moves.",L’adversaire est impressionné par la majesté du Pokémon et ne peut pas le viser avec une attaque prioritaire.
Damages the attacker landing the finishing hit by the amount equal to its last HP.,Le Pokémon inflige à l’adversaire l’ayant mis K.O. des dégâts égaux au nombre de PV qu’il lui restait avant le coup de grâce.
"When another Pokémon uses a dance move, it can use a dance move following it regardless of its Speed.","Si n’importe quel Pokémon utilise une capacité dansante, ce Pokémon peut se mettre aussi à danser."
Powers up ally Pokémon’s special moves.,Augmente la puissance des capacités spéciales des alliés.
"Halves the damage taken from moves that make direct contact, but doubles that of Fire-type moves.","Divise par deux les dégâts des attaques directes subies par le Pokémon, mais double les dégâts des capacités de type Feu."
"Surprises the opposing Pokémon, making it unable to attack using priority moves.",L’adversaire est abasourdi par le Pokémon et ne peut pas le viser avec une capacité prioritaire.
Boosts its Sp. Atk stat every time a Pokémon faints.,Augmente l’Attaque Spéciale du Pokémon lorsqu’un autre Pokémon est mis K.O.
Contact with the Pokémon lowers the attacker’s Speed stat.,Baisse la Vitesse de l’attaquant lorsque le Pokémon subit une attaque directe.
The Pokémon copies the Ability of a defeated ally.,Le Pokémon reçoit le talent d’un allié mis K.O.
The Pokémon copies the Ability of a defeated ally.,Le Pokémon acquiert le talent d’un allié mis K.O.
The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.,Augmente la stat la plus élevée du Pokémon s’il met K.O. un autre Pokémon pendant son tour.
Changes the Pokémon’s type to match the memory disc it holds.,Change le type du Pokémon en fonction de la ROM équipée.
Turns the ground into Electric Terrain when the Pokémon enters a battle.,Le Pokémon crée un Champ Électrifié au moment où il entre au combat.
